*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:13:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: SpaceX Roadster (spacecraft) (-143205) {source: tesla_s10}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 13:24 *m  23 50 48.78 -00 27 57.2 94.66801  41.59925 2.43790963707851  -2.2362784  11.2957 /T   7.5597
 2019-Mar-07 13:25 *m  23 50 48.89 -00 27 56.5 94.66509  41.59934 2.43790874021974  -2.2358701  11.2955 /T   7.5595
 2019-Mar-07 13:26 *m  23 50 48.99 -00 27 55.8 94.66216  41.59942 2.43790784352602  -2.2354553  11.2952 /T   7.5594
 2019-Mar-07 13:27 *m  23 50 49.10 -00 27 55.1 94.65924  41.59951 2.43790694700003  -2.2350338  11.2950 /T   7.5593
 2019-Mar-07 13:28 *m  23 50 49.20 -00 27 54.4 94.65633  41.59960 2.43790605064438  -2.2346058  11.2948 /T   7.5591
 2019-Mar-07 13:29 *m  23 50 49.31 -00 27 53.7 94.65342  41.59968 2.43790515446171  -2.2341713  11.2946 /T   7.5590
 2019-Mar-07 13:30 *m  23 50 49.41 -00 27 53.0 94.65052  41.59977 2.43790425845466  -2.2337301  11.2944 /T   7.5589
 2019-Mar-07 13:31 *m  23 50 49.52 -00 27 52.3 94.64762  41.59985 2.43790336262584  -2.2332825  11.2942 /T   7.5587
 2019-Mar-07 13:32 *m  23 50 49.62 -00 27 51.6 94.64472  41.59994 2.43790246697789  -2.2328283  11.2940 /T   7.5586
 2019-Mar-07 13:33 *m  23 50 49.73 -00 27 51.0 94.64183  41.60003 2.43790157151341  -2.2323676  11.2938 /T   7.5585
 2019-Mar-07 13:34 *m  23 50 49.83 -00 27 50.3 94.63895  41.60011 2.43790067623502  -2.2319004  11.2935 /T   7.5584
 2019-Mar-07 13:35 *m  23 50 49.94 -00 27 49.6 94.63607  41.60020 2.43789978114533  -2.2314266  11.2933 /T   7.5582
 2019-Mar-07 13:36 *m  23 50 50.04 -00 27 48.9 94.63319  41.60029 2.43789888624695  -2.2309464  11.2931 /T   7.5581
 2019-Mar-07 13:37 *m  23 50 50.15 -00 27 48.2 94.63032  41.60037 2.43789799154247  -2.2304597  11.2929 /T   7.5580
 2019-Mar-07 13:38 *m  23 50 50.25 -00 27 47.5 94.62746  41.60046 2.43789709703450  -2.2299666  11.2927 /T   7.5578
 2019-Mar-07 13:39 *m  23 50 50.36 -00 27 46.8 94.62460  41.60055 2.43789620272562  -2.2294670  11.2925 /T   7.5577
 2019-Mar-07 13:40 *m  23 50 50.46 -00 27 46.1 94.62174  41.60063 2.43789530861843  -2.2289609  11.2923 /T   7.5576
 2019-Mar-07 13:41 *m  23 50 50.57 -00 27 45.4 94.61890  41.60072 2.43789441471549  -2.2284484  11.2921 /T   7.5575
 2019-Mar-07 13:42 *m  23 50 50.67 -00 27 44.7 94.61605  41.60081 2.43789352101940  -2.2279295  11.2918 /T   7.5573
 2019-Mar-07 13:43 *m  23 50 50.78 -00 27 44.0 94.61321  41.60090 2.43789262753272  -2.2274042  11.2916 /T   7.5572
 2019-Mar-07 13:44 *m  23 50 50.88 -00 27 43.3 94.61038  41.60098 2.43789173425802  -2.2268725  11.2914 /T   7.5571
 2019-Mar-07 13:45 *m  23 50 50.99 -00 27 42.6 94.60755  41.60107 2.43789084119788  -2.2263343  11.2912 /T   7.5569
