*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:10:32 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 13:27 *m  21 33 57.59 -11 21 21.4 103.4911  38.97842 2.23285507604954  -7.3714404  24.4932 /L  17.1894
 2019-Mar-07 13:28 *m  21 33 57.71 -11 21 20.7 103.4890  38.97921 2.23285211983373  -7.3702469  24.4934 /L  17.1896
 2019-Mar-07 13:29 *m  21 33 57.83 -11 21 20.1 103.4869  38.98000 2.23284916409740  -7.3690494  24.4935 /L  17.1897
 2019-Mar-07 13:30 *m  21 33 57.94 -11 21 19.4 103.4848  38.98079 2.23284620884218  -7.3678478  24.4937 /L  17.1898
 2019-Mar-07 13:31 *m  21 33 58.06 -11 21 18.8 103.4827  38.98158 2.23284325406969  -7.3666422  24.4939 /L  17.1900
 2019-Mar-07 13:32 *m  21 33 58.18 -11 21 18.2 103.4806  38.98237 2.23284029978152  -7.3654326  24.4941 /L  17.1901
 2019-Mar-07 13:33 *m  21 33 58.30 -11 21 17.5 103.4786  38.98317 2.23283734597929  -7.3642190  24.4943 /L  17.1902
 2019-Mar-07 13:34 *m  21 33 58.41 -11 21 16.9 103.4765  38.98396 2.23283439266456  -7.3630015  24.4944 /L  17.1904
 2019-Mar-07 13:35 *m  21 33 58.53 -11 21 16.2 103.4745  38.98476 2.23283143983892  -7.3617801  24.4946 /L  17.1905
 2019-Mar-07 13:36 *m  21 33 58.65 -11 21 15.6 103.4724  38.98556 2.23282848750395  -7.3605548  24.4948 /L  17.1906
 2019-Mar-07 13:37 *m  21 33 58.77 -11 21 14.9 103.4704  38.98636 2.23282553566118  -7.3593256  24.4950 /L  17.1908
 2019-Mar-07 13:38 *m  21 33 58.88 -11 21 14.3 103.4684  38.98717 2.23282258431218  -7.3580926  24.4951 /L  17.1909
 2019-Mar-07 13:39 *m  21 33 59.00 -11 21 13.6 103.4665  38.98797 2.23281963345848  -7.3568557  24.4953 /L  17.1910
 2019-Mar-07 13:40 *m  21 33 59.12 -11 21 13.0 103.4645  38.98878 2.23281668310160  -7.3556150  24.4955 /L  17.1912
 2019-Mar-07 13:41 *m  21 33 59.24 -11 21 12.3 103.4625  38.98959 2.23281373324308  -7.3543706  24.4957 /L  17.1913
 2019-Mar-07 13:42 *m  21 33 59.35 -11 21 11.7 103.4606  38.99040 2.23281078388440  -7.3531224  24.4959 /L  17.1914
 2019-Mar-07 13:43 *m  21 33 59.47 -11 21 11.0 103.4586  38.99121 2.23280783502707  -7.3518706  24.4960 /L  17.1916
 2019-Mar-07 13:44 *m  21 33 59.59 -11 21 10.4 103.4567  38.99202 2.23280488667259  -7.3506150  24.4962 /L  17.1917
 2019-Mar-07 13:45 *m  21 33 59.70 -11 21 09.7 103.4548  38.99284 2.23280193882242  -7.3493557  24.4964 /L  17.1918
 2019-Mar-07 13:46 *m  21 33 59.82 -11 21 09.1 103.4529  38.99366 2.23279899147803  -7.3480928  24.4966 /L  17.1920
 2019-Mar-07 13:47 *m  21 33 59.94 -11 21 08.4 103.4510  38.99447 2.23279604464088  -7.3468262  24.4968 /L  17.1921
 2019-Mar-07 13:48 *m  21 34 00.06 -11 21 07.8 103.4492  38.99529 2.23279309831243  -7.3455561  24.4969 /L  17.1922
 2019-Mar-07 13:49 *m  21 34 00.17 -11 21 07.1 103.4473  38.99611 2.23279015249410  -7.3442824  24.4971 /L  17.1924
 2019-Mar-07 13:50 *m  21 34 00.29 -11 21 06.5 103.4455  38.99694 2.23278720718734  -7.3430052  24.4973 /L  17.1925
 2019-Mar-07 13:51 *m  21 34 00.41 -11 21 05.8 103.4436  38.99776 2.23278426239354  -7.3417244  24.4975 /L  17.1926
 2019-Mar-07 13:52 *m  21 34 00.53 -11 21 05.2 103.4418  38.99859 2.23278131811412  -7.3404401  24.4977 /L  17.1928
 2019-Mar-07 13:53 *m  21 34 00.64 -11 21 04.5 103.4400  38.99942 2.23277837435048  -7.3391524  24.4978 /L  17.1929
