*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:49:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 20:11 *   17 14 28.42 +12 06 19.2 0.374271  0.541626 145.001990492316  -6.5187148  77.9687 /L   0.3818
 2019-Feb-20 20:12 *   17 14 28.42 +12 06 19.2 0.374309  0.541634 145.001987877823  -6.5194412  77.9693 /L   0.3818
 2019-Feb-20 20:13 *   17 14 28.42 +12 06 19.2 0.374347  0.541641 145.001985263037  -6.5201738  77.9698 /L   0.3818
 2019-Feb-20 20:14 *   17 14 28.42 +12 06 19.2 0.374385  0.541649 145.001982647957  -6.5209126  77.9704 /L   0.3818
 2019-Feb-20 20:15 *   17 14 28.42 +12 06 19.2 0.374422  0.541657 145.001980032579  -6.5216576  77.9710 /L   0.3818
 2019-Feb-20 20:16 *   17 14 28.42 +12 06 19.3 0.374460  0.541665 145.001977416901  -6.5224087  77.9715 /L   0.3818
 2019-Feb-20 20:17 *   17 14 28.42 +12 06 19.3 0.374497  0.541673 145.001974800920  -6.5231659  77.9721 /L   0.3818
 2019-Feb-20 20:18 *   17 14 28.42 +12 06 19.3 0.374535  0.541681 145.001972184635  -6.5239293  77.9726 /L   0.3818
 2019-Feb-20 20:19 *   17 14 28.42 +12 06 19.3 0.374572  0.541689 145.001969568042  -6.5246989  77.9732 /L   0.3818
 2019-Feb-20 20:20 *   17 14 28.43 +12 06 19.3 0.374609  0.541697 145.001966951139  -6.5254745  77.9738 /L   0.3818
 2019-Feb-20 20:21 *   17 14 28.43 +12 06 19.3 0.374646  0.541705 145.001964333924  -6.5262562  77.9743 /L   0.3818
 2019-Feb-20 20:22 *   17 14 28.43 +12 06 19.3 0.374683  0.541713 145.001961716395  -6.5270440  77.9749 /L   0.3818
 2019-Feb-20 20:23 *   17 14 28.43 +12 06 19.3 0.374720  0.541721 145.001959098548  -6.5278379  77.9754 /L   0.3818
 2019-Feb-20 20:24 *   17 14 28.43 +12 06 19.3 0.374756  0.541730 145.001956480381  -6.5286378  77.9760 /L   0.3818
 2019-Feb-20 20:25 *   17 14 28.43 +12 06 19.3 0.374793  0.541738 145.001953861893  -6.5294437  77.9766 /L   0.3818
 2019-Feb-20 20:26 *   17 14 28.43 +12 06 19.3 0.374829  0.541746 145.001951243080  -6.5302557  77.9771 /L   0.3818
 2019-Feb-20 20:27 *   17 14 28.43 +12 06 19.4 0.374865  0.541755 145.001948623940  -6.5310737  77.9777 /L   0.3818
 2019-Feb-20 20:28 *   17 14 28.43 +12 06 19.4 0.374902  0.541763 145.001946004471  -6.5318977  77.9782 /L   0.3818
 2019-Feb-20 20:29 *   17 14 28.43 +12 06 19.4 0.374938  0.541772 145.001943384671  -6.5327276  77.9788 /L   0.3819
 2019-Feb-20 20:30 *   17 14 28.43 +12 06 19.4 0.374974  0.541780 145.001940764536  -6.5335635  77.9794 /L   0.3819
 2019-Feb-20 20:31 *   17 14 28.43 +12 06 19.4 0.375010  0.541789 145.001938144065  -6.5344054  77.9799 /L   0.3819
 2019-Feb-20 20:32 *   17 14 28.43 +12 06 19.4 0.375045  0.541797 145.001935523255  -6.5352532  77.9805 /L   0.3819
 2019-Feb-20 20:33 *   17 14 28.43 +12 06 19.4 0.375081  0.541806 145.001932902104  -6.5361070  77.9810 /L   0.3819
 2019-Feb-20 20:34 *   17 14 28.43 +12 06 19.4 0.375116  0.541815 145.001930280609  -6.5369666  77.9816 /L   0.3819
 2019-Feb-20 20:35 *   17 14 28.43 +12 06 19.4 0.375152  0.541824 145.001927658768  -6.5378322  77.9822 /L   0.3819
 2019-Feb-20 20:36 *   17 14 28.43 +12 06 19.4 0.375187  0.541832 145.001925036579  -6.5387036  77.9827 /L   0.3819
 2019-Feb-20 20:37 *   17 14 28.43 +12 06 19.4 0.375222  0.541841 145.001922414039  -6.5395809  77.9833 /L   0.3819
 2019-Feb-20 20:38 *   17 14 28.43 +12 06 19.5 0.375257  0.541850 145.001919791147  -6.5404640  77.9838 /L   0.3819
 2019-Feb-20 20:39 *   17 14 28.43 +12 06 19.5 0.375292  0.541859 145.001917167899  -6.5413530  77.9844 /L   0.3819
 2019-Feb-20 20:40 *   17 14 28.43 +12 06 19.5 0.375327  0.541868 145.001914544293  -6.5422477  77.9850 /L   0.3819
 2019-Feb-20 20:41 *   17 14 28.43 +12 06 19.5 0.375362  0.541877 145.001911920327  -6.5431483  77.9855 /L   0.3819
